,Pincode,Placename,District,State,Taluka,Latitude,Longitude,Full_address
36251,400005,Colaba,Mumbai,Maharashtra,Mumbai,18.9069,72.8106,"Colaba,Mumbai,Mumbai"
36252,400005,Holiday Camp,Mumbai,Maharashtra,Mumbai,18.9069,72.8106,"Holiday Camp,Mumbai,Mumbai"
36253,400005,V.W.T.C.,Mumbai,Maharashtra,Mumbai,18.9069,72.8106,"V.W.T.C.,Mumbai,Mumbai"
36255,400005,Asvini,Mumbai,Maharashtra,Mumbai,18.9069,72.8106,"Asvini,Mumbai,Mumbai"
36256,400006,Malabar Hill,Mumbai,Maharashtra,Mumbai,18.95,72.7833,"Malabar Hill,Mumbai,Mumbai"
36257,400007,Tardeo,Mumbai,Maharashtra,Mumbai,18.9667,72.8167,"Tardeo,Mumbai,Mumbai"
36258,400007,Grant Road,Mumbai,Maharashtra,Mumbai,18.9667,72.8167,"Grant Road,Mumbai,Mumbai"
36259,400007,S V Marg,Mumbai,Maharashtra,Mumbai,18.9667,72.8167,"S V Marg,Mumbai,Mumbai"
36260,400007,N.S.Patkar Marg,Mumbai,Maharashtra,Mumbai,18.9667,72.8167,"N.S.Patkar Marg,Mumbai,Mumbai"
36261,400007,Bharat Nagar (Mumbai),Mumbai,Maharashtra,Mumbai,18.9667,72.8167,"Bharat Nagar (Mumbai),Mumbai,Mumbai"
36262,400008,Falkland Road,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"Falkland Road,Mumbai,Mumbai"
36263,400008,Mumbai Central,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"Mumbai Central,Mumbai,Mumbai"
36264,400008,M A Marg,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"M A Marg,Mumbai,Mumbai"
36265,400008,J.J.Hospital,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"J.J.Hospital,Mumbai,Mumbai"
36266,400008,Kamathipura,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"Kamathipura,Mumbai,Mumbai"
36268,400009,Princess Dock,Mumbai,Maharashtra,Mumbai,18.6291,72.8919,"Princess Dock,Mumbai,Mumbai"
36270,400010,Mazgaon,Mumbai,Maharashtra,Mumbai,18.3667,72.9333,"Mazgaon,Mumbai,Mumbai"
36271,400010,Mazgaon Road,Mumbai,Maharashtra,Mumbai,18.3667,72.9333,"Mazgaon Road,Mumbai,Mumbai"
36272,400010,V K Bhavan,Mumbai,Maharashtra,Mumbai,18.3667,72.9333,"V K Bhavan,Mumbai,Mumbai"
36273,400010,Mazgaon Dock,Mumbai,Maharashtra,Mumbai,18.3667,72.9333,"Mazgaon Dock,Mumbai,Mumbai"
36274,400010,Dockyard Road,Mumbai,Maharashtra,Mumbai,18.3667,72.9333,"Dockyard Road,Mumbai,Mumbai"
36275,400011,Agripada,Mumbai,Maharashtra,Mumbai,18.9833,72.8333,"Agripada,Mumbai,Mumbai"
36276,400011,Chinchpokli,Mumbai,Maharashtra,Mumbai,18.9833,72.8333,"Chinchpokli,Mumbai,Mumbai"
36277,400011,Jacob Circle,Mumbai,Maharashtra,Mumbai,18.9833,72.8333,"Jacob Circle,Mumbai,Mumbai"
36278,400011,Haines Road,Mumbai,Maharashtra,Mumbai,18.9833,72.8333,"Haines Road,Mumbai,Mumbai"
